
2020-03-15T05:30:45.718618Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.718818Z	   94 Query	show create table `t1`
2020-03-15T05:30:45.719201Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.719398Z	   94 Query	show fields from `t1`
2020-03-15T05:30:45.719976Z	   94 Query	show fields from `t1`
2020-03-15T05:30:45.720585Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t1`
2020-03-15T05:30:45.720981Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.721269Z	   94 Query	use `zst`
2020-03-15T05:30:45.721551Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.721779Z	   94 Query	SHOW TRIGGERS LIKE 't1'
2020-03-15T05:30:45.722493Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.722683Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.722911Z	   94 Query	show table status like 't1\_10yi'
2020-03-15T05:30:45.723308Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.723567Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.723809Z	   94 Query	show create table `t1_10yi`
2020-03-15T05:30:45.724118Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.724499Z	   94 Query	show fields from `t1_10yi`
2020-03-15T05:30:45.725003Z	   94 Query	show fields from `t1_10yi`
2020-03-15T05:30:45.725404Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t1_10yi`
2020-03-15T05:30:45.725752Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.725933Z	   94 Query	use `zst`
2020-03-15T05:30:45.726287Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.726490Z	   94 Query	SHOW TRIGGERS LIKE 't1\_10yi'
2020-03-15T05:30:45.727082Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.727288Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.727483Z	   94 Query	show table status like 't2'
2020-03-15T05:30:45.727832Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.728035Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.728227Z	   94 Query	show create table `t2`
2020-03-15T05:30:45.728424Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.728592Z	   94 Query	show fields from `t2`
2020-03-15T05:30:45.729014Z	   94 Query	show fields from `t2`
2020-03-15T05:30:45.729487Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t2`
2020-03-15T05:30:45.729755Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.729920Z	   94 Query	use `zst`
2020-03-15T05:30:45.730070Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.730315Z	   94 Query	SHOW TRIGGERS LIKE 't2'
2020-03-15T05:30:45.730733Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.730901Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.731077Z	   94 Query	show table status like 't20190930'
2020-03-15T05:30:45.731427Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.731590Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.731791Z	   94 Query	show create table `t20190930`
2020-03-15T05:30:45.732031Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.732364Z	   94 Query	show fields from `t20190930`
2020-03-15T05:30:45.733959Z	   94 Query	show fields from `t20190930`
2020-03-15T05:30:45.734820Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t20190930`
2020-03-15T05:30:45.738769Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.738988Z	   94 Query	use `zst`
2020-03-15T05:30:45.739221Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.739383Z	   94 Query	SHOW TRIGGERS LIKE 't20190930'
2020-03-15T05:30:45.739890Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.740061Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.740261Z	   94 Query	show table status like 't20191007'
2020-03-15T05:30:45.740536Z	   94 Query	SET SQL_QUOTE_SHOW_CREATE=1
2020-03-15T05:30:45.740695Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.740855Z	   94 Query	show create table `t20191007`
2020-03-15T05:30:45.741044Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.741219Z	   94 Query	show fields from `t20191007`
2020-03-15T05:30:45.741570Z	   94 Query	show fields from `t20191007`
2020-03-15T05:30:45.741986Z	   94 Query	SELECT /*!40001 SQL_NO_CACHE */ * FROM `t20191007`
2020-03-15T05:30:45.742285Z	   94 Query	SET SESSION character_set_results = 'binary'
2020-03-15T05:30:45.742437Z	   94 Query	use `zst`
2020-03-15T05:30:45.742605Z	   94 Query	select @@collation_database
2020-03-15T05:30:45.742800Z	   94 Query	SHOW TRIGGERS LIKE 't20191007'
2020-03-15T05:30:45.743244Z	   94 Query	SET SESSION character_set_results = 'utf8'
2020-03-15T05:30:45.743395Z	   94 Query	ROLLBACK TO SAVEPOINT sp
2020-03-15T05:30:45.743567Z	   94 Query	show table status like 't2019100702'
