sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 10
Report intermediate results every 10 second(s)
Random number generator seed is 0 and will be ignored


Initializing worker threads...

Threads started!

[ 600s] threads: 10, tps: 910.13, reads: 12739.65, writes: 3640.63, response time: 28.92ms (99%), errors: 0.00, reconnects:  0.00
[ 610s] threads: 10, tps: 918.87, reads: 12864.25, writes: 3675.87, response time: 26.81ms (99%), errors: 0.00, reconnects:  0.00
[ 620s] threads: 10, tps: 937.96, reads: 13133.51, writes: 3752.73, response time: 26.40ms (99%), errors: 0.00, reconnects:  0.00
[ 630s] threads: 10, tps: 974.09, reads: 13635.55, writes: 3895.46, response time: 26.39ms (99%), errors: 0.00, reconnects:  0.00
[ 640s] threads: 10, tps: 935.36, reads: 13095.00, writes: 3741.26, response time: 26.22ms (99%), errors: 0.00, reconnects:  0.00
[ 650s] threads: 10, tps: 907.44, reads: 12704.72, writes: 3629.98, response time: 28.59ms (99%), errors: 0.10, reconnects:  0.00
[ 660s] threads: 10, tps: 873.19, reads: 12223.63, writes: 3492.68, response time: 31.31ms (99%), errors: 0.10, reconnects:  0.00
[ 670s] threads: 10, tps: 938.70, reads: 13143.75, writes: 3755.19, response time: 26.67ms (99%), errors: 0.00, reconnects:  0.00
[ 680s] threads: 10, tps: 827.10, reads: 11578.81, writes: 3308.40, response time: 30.51ms (99%), errors: 0.00, reconnects:  0.00
[ 690s] threads: 10, tps: 912.20, reads: 12776.23, writes: 3649.01, response time: 29.18ms (99%), errors: 0.10, reconnects:  0.00
[ 700s] threads: 10, tps: 915.71, reads: 12816.92, writes: 3663.43, response time: 26.58ms (99%), errors: 0.00, reconnects:  0.00
[ 710s] threads: 10, tps: 887.26, reads: 12423.66, writes: 3548.25, response time: 28.34ms (99%), errors: 0.00, reconnects:  0.00
[ 720s] threads: 10, tps: 960.54, reads: 13446.17, writes: 3842.56, response time: 26.25ms (99%), errors: 0.00, reconnects:  0.00
[ 730s] threads: 10, tps: 884.58, reads: 12383.47, writes: 3538.01, response time: 35.06ms (99%), errors: 0.10, reconnects:  0.00
[ 740s] threads: 10, tps: 859.37, reads: 12033.65, writes: 3437.37, response time: 28.05ms (99%), errors: 0.10, reconnects:  0.00
[ 750s] threads: 10, tps: 945.96, reads: 13243.23, writes: 3784.44, response time: 27.47ms (99%), errors: 0.00, reconnects:  0.00
[ 760s] threads: 10, tps: 959.99, reads: 13439.17, writes: 3839.96, response time: 30.21ms (99%), errors: 0.00, reconnects:  0.00
[ 770s] threads: 10, tps: 941.21, reads: 13179.35, writes: 3764.64, response time: 28.17ms (99%), errors: 0.00, reconnects:  0.00
[ 780s] threads: 10, tps: 888.20, reads: 12434.26, writes: 3552.49, response time: 29.93ms (99%), errors: 0.00, reconnects:  0.00
[ 790s] threads: 10, tps: 932.99, reads: 13061.60, writes: 3732.27, response time: 29.76ms (99%), errors: 0.00, reconnects:  0.00
[ 800s] threads: 10, tps: 904.01, reads: 12658.98, writes: 3616.22, response time: 32.84ms (99%), errors: 0.10, reconnects:  0.00
[ 810s] threads: 10, tps: 919.98, reads: 12877.98, writes: 3680.04, response time: 32.59ms (99%), errors: 0.00, reconnects:  0.00
[ 820s] threads: 10, tps: 937.89, reads: 13129.32, writes: 3751.38, response time: 26.99ms (99%), errors: 0.00, reconnects:  0.00
[ 830s] threads: 10, tps: 955.90, reads: 13387.01, writes: 3824.00, response time: 28.20ms (99%), errors: 0.00, reconnects:  0.00
[ 840s] threads: 10, tps: 922.52, reads: 12913.01, writes: 3690.49, response time: 29.98ms (99%), errors: 0.00, reconnects:  0.00
[ 850s] threads: 10, tps: 865.30, reads: 12111.66, writes: 3460.09, response time: 32.57ms (99%), errors: 0.00, reconnects:  0.00
[ 860s] threads: 10, tps: 889.30, reads: 12453.89, writes: 3558.10, response time: 29.28ms (99%), errors: 0.00, reconnects:  0.00
[ 870s] threads: 10, tps: 900.50, reads: 12602.64, writes: 3601.91, response time: 29.96ms (99%), errors: 0.00, reconnects:  0.00
[ 880s] threads: 10, tps: 923.70, reads: 12932.82, writes: 3694.01, response time: 29.27ms (99%), errors: 0.00, reconnects:  0.00
[ 890s] threads: 10, tps: 907.00, reads: 12701.48, writes: 3628.19, response time: 27.90ms (99%), errors: 0.00, reconnects:  0.00
[ 900s] threads: 10, tps: 911.58, reads: 12765.96, writes: 3646.23, response time: 28.42ms (99%), errors: 0.20, reconnects:  0.00
[ 910s] threads: 10, tps: 919.17, reads: 12866.82, writes: 3676.66, response time: 26.14ms (99%), errors: 0.00, reconnects:  0.00
[ 920s] threads: 10, tps: 914.85, reads: 12808.90, writes: 3660.30, response time: 26.96ms (99%), errors: 0.00, reconnects:  0.00
[ 930s] threads: 10, tps: 912.59, reads: 12777.51, writes: 3649.75, response time: 28.38ms (99%), errors: 0.00, reconnects:  0.00
[ 940s] threads: 10, tps: 918.71, reads: 12858.11, writes: 3674.53, response time: 26.72ms (99%), errors: 0.00, reconnects:  0.00
[ 950s] threads: 10, tps: 942.20, reads: 13192.66, writes: 3769.29, response time: 27.48ms (99%), errors: 0.00, reconnects:  0.00
[ 960s] threads: 10, tps: 886.20, reads: 12405.35, writes: 3544.51, response time: 27.87ms (99%), errors: 0.10, reconnects:  0.00
[ 970s] threads: 10, tps: 944.11, reads: 13218.50, writes: 3777.33, response time: 28.13ms (99%), errors: 0.00, reconnects:  0.00
[ 980s] threads: 10, tps: 816.88, reads: 11439.31, writes: 3266.82, response time: 29.65ms (99%), errors: 0.10, reconnects:  0.00
[ 990s] threads: 10, tps: 920.71, reads: 12891.39, writes: 3683.86, response time: 27.19ms (99%), errors: 0.00, reconnects:  0.00
[1000s] threads: 10, tps: 778.31, reads: 10894.88, writes: 3112.42, response time: 32.62ms (99%), errors: 0.10, reconnects:  0.00
[1010s] threads: 10, tps: 939.80, reads: 13160.40, writes: 3760.20, response time: 30.00ms (99%), errors: 0.10, reconnects:  0.00
[1020s] threads: 10, tps: 978.50, reads: 13699.08, writes: 3913.69, response time: 26.43ms (99%), errors: 0.00, reconnects:  0.00
[1030s] threads: 10, tps: 936.99, reads: 13119.20, writes: 3748.24, response time: 28.06ms (99%), errors: 0.00, reconnects:  0.00
[1040s] threads: 10, tps: 957.19, reads: 13398.34, writes: 3828.15, response time: 28.36ms (99%), errors: 0.10, reconnects:  0.00
[1050s] threads: 10, tps: 943.13, reads: 13205.19, writes: 3772.51, response time: 28.34ms (99%), errors: 0.00, reconnects:  0.00
[1060s] threads: 10, tps: 930.57, reads: 13027.84, writes: 3722.67, response time: 26.93ms (99%), errors: 0.00, reconnects:  0.00
[1070s] threads: 10, tps: 932.02, reads: 13048.86, writes: 3728.08, response time: 30.16ms (99%), errors: 0.00, reconnects:  0.00
[1080s] threads: 10, tps: 930.42, reads: 13025.62, writes: 3721.66, response time: 26.94ms (99%), errors: 0.10, reconnects:  0.00
[1090s] threads: 10, tps: 942.58, reads: 13197.07, writes: 3770.83, response time: 28.40ms (99%), errors: 0.00, reconnects:  0.00
[1100s] threads: 10, tps: 908.22, reads: 12713.05, writes: 3632.67, response time: 28.99ms (99%), errors: 0.00, reconnects:  0.00
[1110s] threads: 10, tps: 901.77, reads: 12626.23, writes: 3606.76, response time: 30.39ms (99%), errors: 0.00, reconnects:  0.00
[1120s] threads: 10, tps: 849.62, reads: 11891.79, writes: 3398.48, response time: 27.06ms (99%), errors: 0.10, reconnects:  0.00
[1130s] threads: 10, tps: 852.20, reads: 11937.06, writes: 3409.32, response time: 28.57ms (99%), errors: 0.10, reconnects:  0.00
[1140s] threads: 10, tps: 895.56, reads: 12536.94, writes: 3582.34, response time: 29.54ms (99%), errors: 0.00, reconnects:  0.00
[1150s] threads: 10, tps: 857.34, reads: 12005.62, writes: 3430.28, response time: 28.45ms (99%), errors: 0.10, reconnects:  0.00
[1160s] threads: 10, tps: 830.64, reads: 11626.91, writes: 3322.34, response time: 30.07ms (99%), errors: 0.00, reconnects:  0.00
[1170s] threads: 10, tps: 935.05, reads: 13092.16, writes: 3740.19, response time: 27.25ms (99%), errors: 0.10, reconnects:  0.00
[1180s] threads: 10, tps: 918.12, reads: 12856.03, writes: 3672.19, response time: 29.88ms (99%), errors: 0.00, reconnects:  0.00
[1190s] threads: 10, tps: 922.39, reads: 12909.51, writes: 3689.17, response time: 29.12ms (99%), errors: 0.00, reconnects:  0.00
[1200s] threads: 10, tps: 914.11, reads: 12801.21, writes: 3657.03, response time: 29.64ms (99%), errors: 0.00, reconnects:  0.00
[1210s] threads: 10, tps: 817.20, reads: 11439.95, writes: 3268.39, response time: 32.24ms (99%), errors: 0.10, reconnects:  0.00
[1220s] threads: 10, tps: 865.90, reads: 12123.00, writes: 3463.60, response time: 27.77ms (99%), errors: 0.00, reconnects:  0.00
[1230s] threads: 10, tps: 904.80, reads: 12669.45, writes: 3620.51, response time: 30.82ms (99%), errors: 0.10, reconnects:  0.00
[1240s] threads: 10, tps: 940.69, reads: 13172.81, writes: 3762.68, response time: 27.67ms (99%), errors: 0.00, reconnects:  0.00
[1250s] threads: 10, tps: 941.60, reads: 13176.87, writes: 3765.42, response time: 29.85ms (99%), errors: 0.00, reconnects:  0.00
[1260s] threads: 10, tps: 930.87, reads: 13032.89, writes: 3723.68, response time: 26.98ms (99%), errors: 0.10, reconnects:  0.00
[1270s] threads: 10, tps: 885.53, reads: 12403.02, writes: 3542.32, response time: 30.60ms (99%), errors: 0.10, reconnects:  0.00
[1280s] threads: 10, tps: 883.70, reads: 12368.26, writes: 3534.99, response time: 29.57ms (99%), errors: 0.00, reconnects:  0.00
[1290s] threads: 10, tps: 957.69, reads: 13411.60, writes: 3831.67, response time: 26.26ms (99%), errors: 0.00, reconnects:  0.00
[1300s] threads: 10, tps: 899.40, reads: 12588.28, writes: 3596.89, response time: 31.16ms (99%), errors: 0.00, reconnects:  0.00
[1310s] threads: 10, tps: 915.70, reads: 12823.25, writes: 3662.71, response time: 29.37ms (99%), errors: 0.00, reconnects:  0.00
[1320s] threads: 10, tps: 846.71, reads: 11852.38, writes: 3387.12, response time: 30.34ms (99%), errors: 0.20, reconnects:  0.00
[1330s] threads: 10, tps: 973.40, reads: 13628.63, writes: 3894.11, response time: 27.06ms (99%), errors: 0.00, reconnects:  0.00
[1340s] threads: 10, tps: 918.08, reads: 12853.73, writes: 3672.02, response time: 25.99ms (99%), errors: 0.00, reconnects:  0.00
[1350s] threads: 10, tps: 947.02, reads: 13259.71, writes: 3788.26, response time: 25.17ms (99%), errors: 0.00, reconnects:  0.00
[1360s] threads: 10, tps: 858.60, reads: 12025.27, writes: 3434.49, response time: 29.53ms (99%), errors: 0.30, reconnects:  0.00
[1370s] threads: 10, tps: 904.11, reads: 12653.49, writes: 3616.73, response time: 31.15ms (99%), errors: 0.00, reconnects:  0.00
[1380s] threads: 10, tps: 946.20, reads: 13247.59, writes: 3784.40, response time: 26.76ms (99%), errors: 0.00, reconnects:  0.00
[1390s] threads: 10, tps: 861.90, reads: 12069.51, writes: 3448.80, response time: 30.16ms (99%), errors: 0.20, reconnects:  0.00
[1400s] threads: 10, tps: 885.06, reads: 12391.37, writes: 3539.55, response time: 28.63ms (99%), errors: 0.00, reconnects:  0.00
[1410s] threads: 10, tps: 915.74, reads: 12821.47, writes: 3662.86, response time: 29.34ms (99%), errors: 0.00, reconnects:  0.00
[1420s] threads: 10, tps: 905.10, reads: 12670.99, writes: 3620.60, response time: 29.38ms (99%), errors: 0.00, reconnects:  0.00
[1430s] threads: 10, tps: 930.60, reads: 13031.47, writes: 3722.99, response time: 28.86ms (99%), errors: 0.10, reconnects:  0.00
[1440s] threads: 10, tps: 890.69, reads: 12470.62, writes: 3562.38, response time: 27.18ms (99%), errors: 0.10, reconnects:  0.00
[1450s] threads: 10, tps: 944.61, reads: 13223.40, writes: 3779.23, response time: 27.06ms (99%), errors: 0.00, reconnects:  0.00
[1460s] threads: 10, tps: 902.90, reads: 12641.82, writes: 3611.30, response time: 27.99ms (99%), errors: 0.00, reconnects:  0.00
[1470s] threads: 10, tps: 934.70, reads: 13086.23, writes: 3738.68, response time: 29.95ms (99%), errors: 0.10, reconnects:  0.00
[1480s] threads: 10, tps: 853.80, reads: 11955.28, writes: 3415.09, response time: 28.39ms (99%), errors: 0.10, reconnects:  0.00
